Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie_Age,Genre_Count,Director_Frequency,Actor1_Frequency,Genre_Encoded,Director_Encoded,combined_features
Aadhi Raat,1950.0,115.0,"Drama, Romance",6.7,9.0,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur,76.0,2,1,1,301,1873,"Drama, Romance S.K. Ojha Cuckoo Jeevan"
Aadmi,1968.0,175.0,"Drama, Romance",6.8,196.0,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar,58.0,2,14,31,301,0,"Drama, Romance A. Bhimsingh Dilip Kumar Waheeda Rehman"
Aadmi,1993.0,153.0,"Action, Crime, Drama",6.5,97.0,Arshad Khan,Ajit,Vikas Anand,Arjun,33.0,3,5,5,28,281,"Action, Crime, Drama Arshad Khan Ajit Vikas Anand"
Aadmi Aur Apsara,1991.0,142.0,Fantasy,6.7,66.0,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri,35.0,1,11,1,321,808,Fantasy J. Om Prakash K. Raghavendra Rao Chiranjeevi
Aadmi Aur Insaan,1969.0,168.0,"Drama, Romance, Thriller",6.2,149.0,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan,57.0,3,22,90,305,2526,"Drama, Romance, Thriller Yash Chopra Dharmendra Saira Banu"
Aadmi Khilona Hai,1993.0,158.0,"Drama, Romance",5.0,142.0,J. Om Prakash,Jeetendra,Reena Roy,Govinda,33.0,2,11,89,301,808,"Drama, Romance J. Om Prakash Jeetendra Reena Roy"
Aadmi Ki Aurat Aur Anya Kahaniya,2009.0,78.0,Drama,7.6,62.0,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi,17.0,1,5,1,246,161,Drama Amit Dutta Ashok Chaudhary Bramhaswaroop Mishra
Aadmi Sadak Ka,1977.0,138.0,"Drama, Family",5.4,34.0,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera,49.0,2,6,24,256,548,"Drama, Family Devendra Goel Shatrughan Sinha Vikram Makandar"
Aadupuliyattam,2016.0,145.0,Horror,4.2,266.0,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri,10.0,1,1,1,333,989,Horror Kannan Thamarakkulam Jayaram Ramya Krishnan
Aafat,1977.0,148.0,"Crime, Drama",5.3,17.0,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.,49.0,2,11,11,196,338,"Crime, Drama Atma Ram Navin Nischol Leena Chandavarkar"
Aag,1948.0,138.0,"Musical, Romance",7.4,357.0,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana,78.0,2,11,22,358,1609,"Musical, Romance Raj Kapoor Nargis Kamini Kaushal"
Aag,1994.0,139.0,"Action, Comedy, Drama",4.6,227.0,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre,32.0,3,7,55,19,932,"Action, Comedy, Drama K. Ravi Shankar Govinda Shilpa Shetty Kundra"
Aag Aur Chingari,1994.0,133.0,Action,4.1,13.0,Kanti Shah,Alpana,Aparajita,Asrani,32.0,1,22,1,0,990,Action Kanti Shah Alpana Aparajita
Aag Hi Aag,1987.0,170.0,Action,5.3,93.0,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee,39.0,1,16,90,0,2117,Action Shibu Mitra Dharmendra Shatrughan Sinha
Aag Ka Gola,1990.0,180.0,"Action, Drama",4.8,101.0,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh,36.0,2,41,53,38,505,"Action, Drama David Dhawan Sunny Deol Dimple Kapadia"
Aag Ka Toofaan,1993.0,137.0,Action,4.8,21.0,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani,33.0,1,22,90,0,990,Action Kanti Shah Dharmendra Sadashiv Amrapurkar
Aag Ke Sholay,1988.0,138.0,"Action, Thriller",3.4,7.0,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi,38.0,2,4,1,78,1883,"Action, Thriller S.R. Pratap Bipasha Hemant Birje"
Aag Se Khelenge,1989.0,151.0,Action,5.0,52.0,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor,37.0,1,19,1,0,2218,Action Subhash Ghai Bhaskar Shetty Jeetendra
Aage Maut Peeche Maut,2001.0,78.0,Horror,3.1,7.0,A.T. Joy,Lekha Pande,Vimal Raj,Shakila,25.0,1,1,1,333,14,Horror A.T. Joy Lekha Pande Vimal Raj
Aagey Se Right,2009.0,117.0,"Comedy, Crime, Drama",5.0,381.0,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra,17.0,3,1,9,148,787,"Comedy, Crime, Drama Indrajit Nattoji Shreyas Talpade Mahie Gill"
Aaghaaz,2000.0,153.0,"Action, Crime, Drama",4.2,274.0,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar,26.0,3,1,29,28,2531,"Action, Crime, Drama Yogesh Ishwar Sunil Shetty Sushmita Sen"
Aah,1953.0,150.0,"Drama, Musical, Romance",7.2,275.0,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi,73.0,3,6,22,294,1627,"Drama, Musical, Romance Raja Nawathe Nargis Raj Kapoor"
Aahuti,1978.0,135.0,"Action, Drama",6.0,25.0,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan,48.0,2,2,22,38,319,"Action, Drama Ashok V. Bhushan Rajendra Kumar Shashi Kapoor"
Aaina,1993.0,149.0,"Drama, Romance",6.0,448.0,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh,33.0,2,3,39,301,529,"Drama, Romance Deepak Sareen Jackie Shroff Juhi Chawla"
Aaina,1977.0,150.0,Drama,6.8,94.0,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal,49.0,1,6,8,246,920,Drama K. Balachander Mumtaz Rajesh Khanna
Aaj,1987.0,116.0,Drama,5.5,281.0,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran,39.0,1,39,20,246,1142,Drama Mahesh Bhatt Raj Babbar Smita Patil
Aaj Aur Kal,1963.0,144.0,"Drama, Romance",5.6,52.0,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda,63.0,2,2,91,301,2419,"Drama, Romance Vasant Joglekar Ashok Kumar Sunil Dutt"
Aaj Ka Andha Kanoon,2003.0,46.0,Action,3.1,15.0,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali,23.0,1,1,1,0,160,Action Amit Chandra Sahay Sudesh Berry Priyanka Upendra
Aaj Ka Arjun,1990.0,164.0,"Action, Crime, Drama",4.7,586.0,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar,36.0,3,14,104,28,941,"Action, Crime, Drama K.C. Bokadia Amitabh Bachchan Jaya Prada"
Aaj Ka Daur,1985.0,153.0,"Action, Drama",5.1,40.0,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy,41.0,2,22,39,38,921,"Action, Drama K. Bapaiah Jackie Shroff Padmini Kolhapure"
Aaj Ka Goonda Raaj,1992.0,147.0,"Action, Thriller",5.3,144.0,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar,34.0,2,5,13,78,1779,"Action, Thriller Ravi Raja Pinisetty Chiranjeevi Meenakshi Sheshadri"
Aaj Ka Mahaatma,1976.0,170.0,"Action, Romance",3.5,23.0,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet,50.0,2,5,11,72,1089,"Action, Romance Kundan Kumar Randhir Kapoor Rekha"
Aaj Ka Ravan,2000.0,128.0,"Action, Crime",4.3,31.0,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan,26.0,2,1,93,27,1011,"Action, Crime Kasam Ali Mithun Chakraborty Gajendra Chauhan"
Aaj Ka Samson,1991.0,123.0,"Action, Romance",3.1,14.0,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor,35.0,2,1,8,72,1073,"Action, Romance Kukoo Kapoor Hemant Birje Sahila Chaddha"
Aaj Kaa M.L.A. Ram Avtar,1984.0,157.0,"Action, Drama",5.8,65.0,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma,42.0,2,11,74,38,1340,"Action, Drama Narayana Rao Dasari Rajesh Khanna Shabana Azmi"
Aaj Ke Angaarey,1988.0,128.0,"Action, Drama",5.0,26.0,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh,38.0,2,11,1,38,373,"Action, Drama Babbar Subhash Vinod K. Verma Hemant Birje"
Aaj Ke Shahenshah,1990.0,132.0,Action,3.3,15.0,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday,36.0,1,16,89,0,2117,Action Shibu Mitra Jeetendra Raj Babbar
Aaj Ki Awaz,1984.0,137.0,"Action, Drama, Crime",5.6,79.0,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan,42.0,3,9,20,39,1771,"Action, Drama, Crime Ravi Chopra Raj Babbar Smita Patil"
Aaja Meri Jaan,1993.0,162.0,Romance,4.4,30.0,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor,33.0,1,4,4,371,1026,Romance Ketan Anand Krishan Kumar Tanya Singh
Aaja Nachle,2007.0,137.0,"Drama, Family, Music",6.2,2998.0,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav,19.0,3,1,10,262,217,"Drama, Family, Music Anil Mehta Madhuri Dixit Darshan Jariwala"
Aaja Sanam,1968.0,121.0,"Drama, Romance",6.7,14.0,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma,58.0,2,1,21,301,2535,"Drama, Romance Yusuf Naqvi Feroz Khan Tanuja"
Aakhree Raasta,1986.0,164.0,"Action, Crime, Drama",7.1,1283.0,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada,40.0,3,3,104,28,402,"Action, Crime, Drama Bhagyaraj Amitabh Bachchan Sridevi"
Aakhri Adaalat,1988.0,148.0,"Action, Thriller",5.2,78.0,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff,38.0,2,6,34,78,1681,"Action, Thriller Rajiv Mehra Vinod Khanna Dimple Kapadia"
Aakhri Baazi,1989.0,149.0,"Action, Drama, Family",4.1,53.0,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda,37.0,3,7,24,40,298,"Action, Drama, Family Ashim S. Samanta Shatrughan Sinha Moushumi Chatterjee"
Aakhri Badla,1989.0,120.0,"Action, Crime, Drama",5.0,21.0,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya,37.0,3,1,10,28,1171,"Action, Crime, Drama Mangal Chakravarty Tom Alter Yogeeta Bali"
Aakhri Ghulam,1989.0,171.0,"Action, Crime, Drama",4.9,34.0,Shibu Mitra,Mithun Chakraborty,Sonam,Anupam Kher,37.0,3,16,93,28,2117,"Action, Crime, Drama Shibu Mitra Mithun Chakraborty Sonam"
Aakhri Kasam,1979.0,126.0,"Action, Thriller",6.3,7.0,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra,Yogeeta Bali,47.0,2,1,1,78,587,"Action, Thriller Dinesh-Ramanesh Ramesh Puri Vinod Mehra"
Aakhri Khat,1966.0,153.0,Drama,6.9,122.0,Chetan Anand,Rajesh Khanna,Indrani Mukherjee,Master Bunty,60.0,1,12,74,246,475,Drama Chetan Anand Rajesh Khanna Indrani Mukherjee
Aakhri Sangam,1990.0,160.0,"Action, Romance",7.3,39.0,N.K. Vishwanathan,Nassar,Nirosha,Aurn Pandian,36.0,2,1,2,72,1317,"Action, Romance N.K. Vishwanathan Nassar Nirosha"
Aakhri Sanghursh,1997.0,138.0,Action,2.8,17.0,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna,29.0,1,7,1,0,1341,Action Narendra Bedi Vijayendra Ghatge Kaajal Kiran
Aakraman,1975.0,139.0,"Drama, History, Romance",6.3,44.0,J. Om Prakash,Ashok Kumar,Sanjeev Kumar,Rakesh Roshan,51.0,3,11,91,279,808,"Drama, History, Romance J. Om Prakash Ashok Kumar Sanjeev Kumar"
Aakrosh,1980.0,144.0,"Crime, Drama, Music",7.9,887.0,Govind Nihalani,Naseeruddin Shah,Smita Patil,Amrish Puri,46.0,3,11,43,200,697,"Crime, Drama, Music Govind Nihalani Naseeruddin Shah Smita Patil"
Aakrosh,2010.0,115.0,"Action, Crime, Thriller",7.0,3464.0,Priyadarshan,Ajay Devgn,Akshaye Khanna,Bipasha Basu,16.0,3,29,70,37,1540,"Action, Crime, Thriller Priyadarshan Ajay Devgn Akshaye Khanna"
Aalaap,2012.0,116.0,Sci-Fi,5.4,26.0,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit,14.0,1,1,3,384,1183,Sci-Fi Manish Manikpuri Omkar Das Manikpuri Pitobash
Aalavandhan,2001.0,177.0,"Action, Thriller",7.2,2192.0,Suresh Krishna,Kamal Haasan,Raveena Tandon,Manisha Koirala,25.0,2,9,31,78,2302,"Action, Thriller Suresh Krishna Kamal Haasan Raveena Tandon"
Aalwar,2007.0,152.0,Action,3.0,922.0,Chella,Ajith Kumar,Asin Thottumkal,Vivek,19.0,1,1,4,0,473,Action Chella Ajith Kumar Asin Thottumkal
Aamaar Bhuvan,2018.0,107.0,"Drama, Family",7.7,72.0,Mrinal Sen,Saswata Chatterjee,Nandita Das,Koushik Sen,8.0,2,9,1,256,1288,"Drama, Family Mrinal Sen Saswata Chatterjee Nandita Das"
Aamdani Atthanni Kharcha Rupaiya,2001.0,150.0,"Comedy, Drama, Family",4.8,1238.0,K. Raghavendra Rao,A.S. Ravindra Babu,Govinda,Juhi Chawla,25.0,3,16,1,155,930,"Comedy, Drama, Family K. Raghavendra Rao A.S. Ravindra Babu Govinda"
Aamir,2008.0,99.0,"Action, Crime, Drama",7.7,10862.0,Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala,18.0,3,5,7,28,1613,"Action, Crime, Drama Raj Kumar Gupta Rajeev Khandelwal Aishwarya"
Aamne - Saamne,1967.0,163.0,"Crime, Mystery, Romance",6.5,81.0,Suraj Prakash,Shashi Kapoor,Sharmila Tagore,Prem Chopra,59.0,3,9,81,213,2296,"Crime, Mystery, Romance Suraj Prakash Shashi Kapoor Sharmila Tagore"
Aamne Samne,1982.0,143.0,"Action, Crime, Drama",6.4,53.0,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami,Arti Gupta,44.0,3,7,93,28,298,"Action, Crime, Drama Ashim S. Samanta Mithun Chakraborty Bindiya Goswami"
Aan Aur Shaan,1984.0,130.0,Drama,6.4,37.0,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor,42.0,1,12,46,246,1782,Drama Ravi Tandon Rishi Kapoor Moushumi Chatterjee
Aan Milo Sajna,1970.0,177.0,"Drama, Musical, Romance",6.4,211.0,Mukul Dutt,Rajesh Khanna,Asha Parekh,Vinod Khanna,56.0,3,3,74,294,1299,"Drama, Musical, Romance Mukul Dutt Rajesh Khanna Asha Parekh"
Aan: Men at Work,2004.0,149.0,"Action, Crime, Drama",5.7,2907.0,Madhur Bhandarkar,Akshay Kumar,Shatrughan Sinha,Sunil Shetty,22.0,3,13,82,28,1137,"Action, Crime, Drama Madhur Bhandarkar Akshay Kumar Shatrughan Sinha"
Aanch,2003.0,160.0,Drama,5.6,102.0,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer,23.0,1,4,9,246,1667,Drama Rajesh Ram Singh Arun Bakshi Suchindra Bali
Aanchal,1980.0,138.0,"Action, Drama, Family",6.4,58.0,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar,Rekha,46.0,3,13,74,40,214,"Action, Drama, Family Anil Ganguly Rajesh Khanna Rakhee Gulzar"
Aandhi,1975.0,133.0,"Drama, Romance",8.1,1406.0,Gulzar,Suchitra Sen,Sanjeev Kumar,Om Shivpuri,51.0,2,17,2,301,703,"Drama, Romance Gulzar Suchitra Sen Sanjeev Kumar"
Aandhi-Toofan,1985.0,144.0,Drama,6.1,49.0,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa,41.0,1,11,81,246,373,Drama Babbar Subhash Shashi Kapoor Hema Malini
Aandhiyan,1952.0,136.0,Drama,7.4,30.0,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik,74.0,1,12,55,246,475,Drama Chetan Anand Dev Anand Nimmi
Aandhiyan,1990.0,145.0,Drama,4.8,38.0,David Dhawan,Mumtaz,Prasenjit Chatterjee,Madhushree,36.0,1,41,8,246,505,Drama David Dhawan Mumtaz Prasenjit Chatterjee
Aani Maani,2019.0,94.0,Drama,6.6,15.0,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh,7.0,1,1,1,246,614,Drama Fahim Irshad Farrukh Seyer Priyanka Verma
Aankhen,1993.0,170.0,"Action, Comedy, Crime",6.7,1898.0,David Dhawan,Govinda,Chunky Panday,Raj Babbar,33.0,3,41,55,18,505,"Action, Comedy, Crime David Dhawan Govinda Chunky Panday"
Aankhen,2002.0,165.0,"Crime, Drama, Thriller",7.4,12574.0,Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Sushmita Sen,24.0,3,6,104,204,2489,"Crime, Drama, Thriller Vipul Amrutlal Shah Amitabh Bachchan Akshay Kumar"
Aankhon Aankhon Mein,1972.0,154.0,"Drama, Romance",6.4,28.0,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan,Achala Sachdev,54.0,2,9,25,301,1592,"Drama, Romance Raghunath Jhalani Rakhee Gulzar Rakesh Roshan"
Aansoo Aur Muskan,1970.0,150.0,"Comedy, Drama, Family",6.5,24.0,P. Madhavan,Hema Malini,Parikshit Sahni,Jagdeep,56.0,3,2,8,155,1409,"Comedy, Drama, Family P. Madhavan Hema Malini Parikshit Sahni"
Aao Pyaar Karen,1994.0,141.0,Romance,4.2,160.0,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali,32.0,1,3,24,371,1792,Romance Ravindra Peepat Saif Ali Khan Shilpa Shetty Kundra
Aao Wish Karein,2009.0,140.0,"Comedy, Family, Fantasy",5.1,584.0,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri,17.0,3,1,10,167,683,"Comedy, Family, Fantasy Glen Barreto Aftab Shivdasani Aamna Sharif"
Aap Aye Bahaar Ayee,1971.0,119.0,"Comedy, Drama, Romance",6.6,80.0,Mohan Kumar,Rajendra Kumar,Sadhana,Prem Chopra,55.0,3,13,22,162,1263,"Comedy, Drama, Romance Mohan Kumar Rajendra Kumar Sadhana"
Aap Beati,1976.0,145.0,"Drama, Family",5.7,32.0,Mohan Kumar,Shashi Kapoor,Hema Malini,Ashok Kumar,50.0,2,13,81,256,1263,"Drama, Family Mohan Kumar Shashi Kapoor Hema Malini"
Aap Ki Kasam,1974.0,153.0,"Romance, Drama",7.0,420.0,J. Om Prakash,Rajesh Khanna,Mumtaz,Sanjeev Kumar,52.0,2,11,74,376,808,"Romance, Drama J. Om Prakash Rajesh Khanna Mumtaz"
Aap Ki Khatir,1977.0,115.0,"Action, Comedy, Drama",6.3,27.0,Sudhendu Roy,Vinod Khanna,Rekha,Nadira,49.0,3,3,34,19,2235,"Action, Comedy, Drama Sudhendu Roy Vinod Khanna Rekha"
Aap Ki Khatir,2006.0,122.0,"Comedy, Romance",3.6,863.0,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel,20.0,2,7,12,187,558,"Comedy, Romance Dharmesh Darshan Akshaye Khanna Priyanka Chopra Jonas"
Aap Ki Parchhaiyan,1964.0,128.0,"Drama, Family, Romance",6.3,39.0,Mohan Kumar,Dharmendra,Supriya Choudhury,Vijayalaxmi,62.0,3,13,90,265,1263,"Drama, Family, Romance Mohan Kumar Dharmendra Supriya Choudhury"
Aap Mujhe Achche Lagne Lage,2002.0,180.0,"Action, Drama, Romance",3.1,2366.0,Vikram Bhatt,Hrithik Roshan,Ameesha Patel,Kiran Kumar,24.0,3,30,20,47,2464,"Action, Drama, Romance Vikram Bhatt Hrithik Roshan Ameesha Patel"
Aap To Aise Na The,1980.0,145.0,"Romance, Drama, Family",5.6,38.0,Ambrish Sangal,Raj Babbar,Ranjeeta Kaur,Deepak Parashar,46.0,3,6,20,377,154,"Romance, Drama, Family Ambrish Sangal Raj Babbar Ranjeeta Kaur"
Aapas Ki Baat,1981.0,148.0,"Action, Romance",5.2,17.0,Harmesh Malhotra,Poonam Dhillon,Raj Babbar,Shakti Kapoor,45.0,2,21,4,72,735,"Action, Romance Harmesh Malhotra Poonam Dhillon Raj Babbar"
Aapko Pehle Bhi Kahin Dekha Hai,2003.0,145.0,"Action, Comedy, Drama",4.5,273.0,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal,23.0,3,10,6,19,241,"Action, Comedy, Drama Anubhav Sinha Priyanshu Chatterjee Sakshi Shivanand"
Aar Paar,1985.0,125.0,Action,6.1,44.0,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt,41.0,1,34,93,0,2072,Action Shakti Samanta Mithun Chakraborty Rozina
Aar Ya Paar,1997.0,180.0,Thriller,6.1,230.0,Ketan Mehta,Jackie Shroff,Deepa Sahi,Ritu Shivpuri,29.0,1,12,39,387,1028,Thriller Ketan Mehta Jackie Shroff Deepa Sahi
Aarakshan,2011.0,164.0,"Drama, Thriller",6.2,5170.0,Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee,15.0,2,13,104,309,1494,"Drama, Thriller Prakash Jha Amitabh Bachchan Saif Ali Khan"
Aaravalli,1957.0,210.0,Horror,5.9,7.0,Varalakshmi G.,Unknown,Unknown,Unknown,69.0,1,1,75,333,2415,Horror Varalakshmi G. Unknown Unknown
Aarop,1974.0,129.0,Drama,6.7,13.0,Atma Ram,Vinod Khanna,Saira Banu,Vinod Mehra,52.0,1,11,34,246,338,Drama Atma Ram Vinod Khanna Saira Banu
Aar-Paar,1954.0,146.0,"Musical, Romance, Thriller",6.6,250.0,Guru Dutt,Shyama,Guru Dutt,Jagdish Sethi,72.0,3,7,4,360,710,"Musical, Romance, Thriller Guru Dutt Shyama Guru Dutt"
Aarti,1962.0,156.0,"Family, Musical, Romance",6.6,67.0,Phani Majumdar,Ashok Kumar,Meena Kumari,Pradeep Kumar,64.0,3,6,91,317,1465,"Family, Musical, Romance Phani Majumdar Ashok Kumar Meena Kumari"
Aarya,2007.0,157.0,"Action, Drama, Romance",4.6,191.0,Balasekaran,Bhavana,Madhavan,Prakash Raj,19.0,3,1,1,47,379,"Action, Drama, Romance Balasekaran Bhavana Madhavan"
Aarzoo,1999.0,175.0,"Drama, Romance",5.4,1445.0,Lawrence D'Souza,Madhuri Dixit,Akshay Kumar,Saif Ali Khan,27.0,2,10,10,301,1106,"Drama, Romance Lawrence D'Souza Madhuri Dixit Akshay Kumar"
Aasha,1957.0,171.0,"Comedy, Romance",6.5,23.0,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran,69.0,2,6,14,187,1129,"Comedy, Romance M.V. Raman Vyjayanthimala Kishore Kumar"
Aasha,1980.0,123.0,"Drama, Musical, Romance",5.3,199.0,J. Om Prakash,Jeetendra,Reena Roy,Rameshwari,46.0,3,11,89,294,808,"Drama, Musical, Romance J. Om Prakash Jeetendra Reena Roy"
Aashayein,2010.0,120.0,Drama,7.1,1259.0,Nagesh Kukunoor,John Abraham,Anaitha Nair,Girish Karnad,16.0,1,11,22,246,1328,Drama Nagesh Kukunoor John Abraham Anaitha Nair
Aashiq,1962.0,150.0,Romance,6.7,64.0,Hrishikesh Mukherjee,Raj Kapoor,Padmini,Nanda,64.0,1,33,31,371,768,Romance Hrishikesh Mukherjee Raj Kapoor Padmini
Aashiq,2001.0,160.0,"Action, Drama, Romance",3.8,403.0,Indra Kumar,Bobby Deol,Karisma Kapoor,Rahul Dev,25.0,3,14,18,47,784,"Action, Drama, Romance Indra Kumar Bobby Deol Karisma Kapoor"
Aashiq Banaya Aapne: Love Takes Over,2005.0,115.0,"Drama, Romance, Thriller",4.3,1569.0,Aditya Datt,Emraan Hashmi,Tanushree Dutta,Sonu Sood,21.0,3,5,25,305,75,"Drama, Romance, Thriller Aditya Datt Emraan Hashmi Tanushree Dutta"
Aashiq Hoon Baharon Ka,1977.0,136.0,Romance,5.5,85.0,J. Om Prakash,Rajesh Khanna,Zeenat Aman,Danny Denzongpa,49.0,1,11,74,371,808,Romance J. Om Prakash Rajesh Khanna Zeenat Aman
Aashiqui,1990.0,152.0,"Musical, Drama, Romance",6.3,1661.0,Mahesh Bhatt,Rahul Roy,Anu Agrawal,Avtar Gill,36.0,3,39,5,353,1142,"Musical, Drama, Romance Mahesh Bhatt Rahul Roy Anu Agrawal"
Aashiqui 2,2013.0,132.0,"Drama, Music, Musical",7.0,27357.0,Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa,13.0,3,12,5,289,1277,"Drama, Music, Musical Mohit Suri Aditya Roy Kapoor Shraddha Kapoor"
Aashiqui.In,2011.0,109.0,"Drama, Romance",3.7,61.0,Shankhadeep,Shubhi Ahuja,Amit Dhamija,Preeti Gandwani,15.0,2,1,1,301,2085,"Drama, Romance Shankhadeep Shubhi Ahuja Amit Dhamija"
Aashirwad,1968.0,146.0,Drama,7.3,203.0,Hrishikesh Mukherjee,Ashok Kumar,Sanjeev Kumar,Sumita Sanyal,58.0,1,33,91,246,768,Drama Hrishikesh Mukherjee Ashok Kumar Sanjeev Kumar
Aashmani Jawaharat,2014.0,132.0,Drama,6.1,10.0,Sriparna Dey,Anamitra Roy,Anamitra Roy,Yovik,12.0,1,1,1,246,2206,Drama Sriparna Dey Anamitra Roy Anamitra Roy
Aasma,2018.0,105.0,"Action, Crime, Drama",5.2,8.0,Sudipto Sen,Subrat Dutta,Ameet Gaurr,Sunny Hinduja,8.0,3,1,4,28,2244,"Action, Crime, Drama Sudipto Sen Subrat Dutta Ameet Gaurr"
Aasma: The Sky Is the Limit,2009.0,240.0,Drama,3.8,46.0,Rohit Krishnakant Nayyar,Hrishitaa Bhatt,Seema Biswas,Nauheed Cyrusi,17.0,1,2,3,246,1831,Drama Rohit Krishnakant Nayyar Hrishitaa Bhatt Seema Biswas
Aasmaan,1984.0,145.0,"Drama, Mystery",4.8,12.0,Tony Juneja,Rajiv Kapoor,Divya Rana,Tina Ambani,42.0,2,3,2,297,2373,"Drama, Mystery Tony Juneja Rajiv Kapoor Divya Rana"
Aasmaan Mahal,1965.0,172.0,Drama,5.5,6.0,Khwaja Ahmad Abbas,Prithviraj Kapoor,Dilip Roy,Surekha,61.0,1,13,8,246,1036,Drama Khwaja Ahmad Abbas Prithviraj Kapoor Dilip Roy
Aasmaan Se Gira,1992.0,88.0,"Adventure, Comedy, Romance",6.8,56.0,Pankaj Parashar,Abhishek Chitlangia,Raghuvir Yadav,Anupam Kher,34.0,3,10,1,90,1431,"Adventure, Comedy, Romance Pankaj Parashar Abhishek Chitlangia Raghuvir Yadav"
Aasoo Bane Angaarey,1993.0,150.0,Action,4.5,88.0,Mehul Kumar,Jeetendra,Madhuri Dixit,Kiran Kumar,33.0,1,13,89,0,1238,Action Mehul Kumar Jeetendra Madhuri Dixit
Aasra,1966.0,161.0,"Drama, Family",7.2,32.0,Satyen Bose,Mala Sinha,Biswajit Chatterjee,Balraj Sahni,60.0,2,17,18,256,2038,"Drama, Family Satyen Bose Mala Sinha Biswajit Chatterjee"
